e,method,loglstat,rm,logdis,tax,ptratio,nox,age,black,logcrim,redundant
0,lasso,1,1,1,0.78,1,1,0.64,0.03,1,0.12363636363636364
0.1,lasso,1,0.99,1,0.51,1,0.91,0.8,0.77,1,0.16727272727272727
0,alasso,1,1,1,1,1,1,1,0,1,0.05454545454545455
0.1,alasso,1,0.98,0.99,0.17,1,0.8,0.6,0.55,1,0.09181818181818183
0,sLTS,1,1,1,0,1,1,0,1,1,0.013636363636363636
0.1,sLTS,1,0.96,0.67,0.26,0.84,0.86,0.29,0.44,1,0.2509090909090909
0,sShootingS,1,1,0,0,0,0,0,0,0,0
0.1,sShootingS,1,0.99,0.01,0,0,0,0,0,0,0
0,LGR,1,1,1,0.99,1,1,0.5,0,0,0.1390909090909091
0.1,LGR,1,1,1,0.18,1,1,0.94,0.91,0.37,0.12
0,LRP,1,1,1,0,1,1,1,1,0.99,0.13363636363636364
0.1,LRP,1,1,1,0,1,1,0.28,0.64,0.09,0.10636363636363637
0,ALGR,1,1,1,1,1,1,1,0,0,0.056363636363636366
0.1,ALGR,1,1,1,0.04,0.99,1,0.54,0.63,0.16,0.07272727272727272
0,ALRP,1,1,1,0,1,1,0,0,0.76,0.08
0.1,ALRP,1,1,1,0,1,1,0,0,0.03,0.0790909090909091
